;Entity;type
0;Advance_Article;"RegionalTruck,Supplier,inProduction,inTesting"
1;DOI;"Supplier,Customer,Manufacturer,Researcher"
2;Switch_to_Hydrogen_Buses;Bus
3;CrystEngComm;"Supplier,Manufacturer,Researcher"
4;ALICE;"Manufacturer,Supplier"
5;High_Pressure_Hydrogen_Tanks;"Researcher,Supplier,Manufacturer"
6;Fukushima_Prefecture;Researcher
7;Lithium_Ion_Battery_and_Fuel_Cell;"inResearch,LithiumBattery,Product,Battery,inProduction,Reconversion,inTesting"
8;CAF;Researcher
9;Featured_Company_Featured_Company_DNI_Metals_Inc;"Researcher,RegisteredOrganization"
10;ACWA_Power;"Researcher,Supplier,Manufacturer,Customer"
11;Toyoda_Gosei;"Supplier,Manufacturer,Customer,Researcher"
12;Methanol_fuel_cell_system;"Reconversion,MethanolFuelCell,EthanolFuelCell,Product"
13;China;"Supplier,Customer,Manufacturer,inProduction,Researcher"
14;Powertrain_Daimler_Trucks_division;"Truck,Train"
15;Ref__XX;"inTesting,inProduction,inResearch"
16;Vanguard;"Manufacturer,Researcher,Supplier,Customer"
17;Industry_News;"Researcher,Supplier,Customer"
18;Climate_Pledge_Fund;"inProduction,inResearch"
19;ECH2A;"Manufacturer,Researcher,Supplier"
20;Franco_German;Customer
21;FuelCellsWorks;"Supplier,inResearch,Customer,Manufacturer,inProduction,Researcher"
22;UK;"Researcher,Supplier,Customer,Manufacturer"
23;Hydrogen__AMPERSAND__Fuel_Cells;"Researcher,Supplier"
24;Org;Supplier
25;Position_yourself_for_advantage;RegionalTruck
26;Fuel_Cells;"inResearch,Supplier,inProduction,Reconversion,inTesting,Product,Researcher"
27;News_Engineered_Products;"Researcher,Supplier"
28;Toyota;"Manufacturer,inProduction,Customer,Researcher,inResearch,Supplier"
29;Beijing;"Manufacturer,Customer,Researcher,Supplier"
30;Hydrogen_Fuel_Cell;"inProduction,Researcher,Reconversion,inTesting,Product,inResearch"
31;Twitter;"Researcher,inTesting,inProduction"
32;Avions_Mauboussin;Supplier
33;The_European_Union;"Researcher,Supplier,Customer,Manufacturer"
34;Hydrogen_Fuel_Cell_Buses;"Reconversion,Product,Bus,inProduction"
35;Deep_Sea_Shipping;Marine
36;Hydrogen_Cars;Car
37;POSTECH_University;Research
38;Fuel_Cell_Polarized;"inResearch,inProduction,Reconversion,inTesting,Product"
39;Lhyfe;"Supplier,Customer,Manufacturer,Researcher"
40;Spanish_utility_Iberdrola;"Customer,Supplier"
41;San_Francisco;"Supplier,Customer,Manufacturer,Researcher"
42;ZeroAvia;"Customer,Manufacturer,inProduction,Researcher,Supplier,inResearch"
43;Bloom;"Manufacturer,Researcher,Supplier,Customer"
44;Activision;"Researcher,Supplier,Customer,Manufacturer"
45;Project;Project
46;Compression;inTesting
47;Spyro_Reignited;"inResearch,inProduction"
48;Town_council;Supplier
49;Include_Hydrogen;inProduction
50;Thiebault_Paquet;Supplier
51;Fuel_Cell_Vehicles;Road
52;Royal_Society_of_Chemistry;Researcher
53;H20;inProduction
54;NJC;"Researcher,Supplier"
55;European_Union;"Supplier,Manufacturer"
56;Hydrogen_and_Fuel_Cell_Technologies;"inResearch,inTesting,inProduction,Reconversion,Product"
57;Post_Ammonia_Fuel_Cells;"Reconversion,Product,AmmoniaFuelCell"
58;Geely_Hydrogen_Fuel_Cell;"Reconversion,Product"
59;Maanshan_City;"Customer,Supplier"
60;Alliance;"Customer,Researcher"
61;Antiseptic_Mouth_Wash;"Researcher,Supplier,Customer,Manufacturer"
62;Volvo_AB;"Supplier,Manufacturer,Customer,Researcher"
63;Plug_Power_Fuel_Cells;"Reconversion,Product"
64;GLOBE_NEWSWIRE;"inProduction,Supplier"
65;Oakley_Men_s_Sunglasses_Valve_Polarized_111_Fuel_Cell_Polarized_90_amp_More_Free_Shipping_8788987;BibliographicResource
66;Daimler_Truck_Fuel_Cell_GmbH__AMPERSAND__Co_KG;"Truck,Manufacturer,Reconversion,Researcher,Supplier,Product"
67;Embracing_Hydrogen_and_Fuel_Cell_Technologies_Energy_Department;"inProduction,Reconversion,Product"
68;HyET_Hydrogen;"Supplier,Manufacturer,Customer,Researcher"
69;Beijing_Daily;"Researcher,Supplier"
70;Toyota_Motor_Corporation;"Supplier,Manufacturer,Customer,Manufacturing,Researcher"
71;Hydrogen_fuel_cells;"Customer,Manufacturer,inTesting,inProduction,Reconversion,Product,inResearch"
72;Cariba_Heine;"Supplier,Customer"
73;Tuesday;"inTesting,inProduction,inResearch"
74;Southeast;inProduction
75;Cellcentric;inResearch
76;Hydrogen_Evolution;"Supplier,Road"
77;MAHLE;Supplier
78;Mitsui_O_S_K__Lines;"Supplier,Customer,Researcher"
79;Dezember_2020;"inResearch,inProduction"
80;Talgo_Vittal_One;"Customer,Researcher,Supplier,Manufacturer"
81;More_Deals__AMPERSAND__Coupons;Car
82;NearFuturePropulsionExtras_0_5_3;BibliographicResource
83;Flake;inProduction
84;Brooklyn_College_of_the_City_University_of_New_York;Research
85;Strategic_Analysis_COMMA__Inc;Researcher
86;University;"Customer,Manufacturer,Research,Researcher,Supplier"
87;Fuel_Cell_System;"inTesting,inProduction,Reconversion,Product,inResearch"
88;Hydrogen;"inResearch,Supplier,Manufacturer,inProduction,Customer,Researcher,inTesting"
89;Sunglasses;"inResearch,inProduction"
90;Initiative_seeks_to_reduce_green_hydrogen_cost_htm;BibliographicResource
91;H2O_Molecules;"inProduction,inResearch"
92;Volvo_Group;"Supplier,Customer,Researcher"
93;Many_provinces_and_cities;"Customer,Researcher"
94;Nick_Carey;Supplier
95;Blue_World_Technologies;"Researcher,Supplier,Product,inResearch,Customer,Manufacturer,inTesting,inProduction"
96;The_Clean_Hydrogen_Alliance;"Researcher,Supplier"
97;Matthias_Jurytko;"Researcher,Supplier"
98;UAM_COMMA__automobiles_COMMA__vessels_and_trains;"Train,Car"
99;Breakthrough_Energy_Ventures;"Researcher,Project,Customer"
100;ZEV;Road
101;STOL;Aircraft
102;Fortescue_Metals_Group;"Manufacturer,Customer,Researcher,Supplier"
103;Zhao;"Manufacturer,Researcher,Supplier,Customer"
104;Kawasaki_Heavy_Industries;"Customer,Manufacturer,Researcher,Supplier"
105;ORR;"Supplier,Manufacturer,Customer,Researcher"
106;Lithium_Ion_Battery;inProduction
107;English;"Researcher,Supplier"
108;Green_Hydrogen;"Supplier,inResearch,Customer,inTesting,inProduction,Conversion,Researcher"
109;Strategic_Analysis_COMMA__Inc_;Researcher
110;Volvo;"Customer,Researcher,Supplier,Manufacturer"
111;Mn_Ru;"inResearch,inProduction"
112;Hyundai;"Supplier,inResearch,Customer,Manufacturer,Researcher"
113;GlobeNewswire_Advanced_TORONTO;"Supplier,Manufacturer,Customer,Researcher"
114;Hyundai_Motor_Group;"Supplier,Manufacturer,inProduction,Customer,Manufacturing,Researcher"
115;University_of_Mannheim;"Research,Researcher"
116;Japan;"Supplier,Manufacturer,inProduction"
117;H2O2;"Manufacturer,inTesting,inProduction,inResearch"
118;Tokyo_and_the_Fukushima_Prefecture;Researcher
119;Daimler_Truck_Fuel_Cell;"Customer,Researcher,Supplier"
120;TME;"inProduction,Customer,Researcher,inResearch,Supplier,inTesting"
121;Hydrogen_Infrastructure;"Researcher,Supplier,Customer,Manufacturer"
122;Energy_Department;"Supplier,Customer,Manufacturer,Researcher"
123;OCTA;"Researcher,Supplier,Customer,Manufacturer"
124;Southern_California;Customer
125;H2;"inTesting,inProduction,Researcher,Supplier,inResearch"
126;Green_hydrogen;"Conversion,inResearch,Supplier,Manufacturer,inProduction,Customer,inTesting"
127;The_Korea_Institute_of_Science_and_Technology;"Product,Customer,RegisteredOrganization"
128;Stellantis;"Researcher,Supplier,Manufacturer,Customer"
129;AUVSI;"Researcher,Supplier,Manufacturer,Customer"
130;Heavy_Duty_Vehicles_Hydrogen;"Truck,Road"
131;DNI;Manufacturer
132;LONDON;"inResearch,Supplier,Manufacturer,inProduction,Customer,Researcher"
133;Germany;Manufacturer
134;Wind_Hunter_Project;"Project,Customer,inTesting,Researcher"
135;Motomachi_Plant;inProduction
136;Hydrogen_NEXO_Vehicle_POSCO;"Road,Customer"
137;Hydrogen_fuel_cars;Car
138;Talgo;"Supplier,Customer,Manufacturer,Researcher"
139;SOFC4Maritime;"Supplier,Manufacturer,Customer,Researcher,Marine,SolidOxideFuelCell"
140;Masamichi_Okada;Supplier
141;C6TA01470D;BibliographicResource
142;European_Clean_Hydrogen_Alliance;"Customer,inProduction,Researcher,Supplier"
143;Santa_Cruz;Researcher
144;Fuel_Cell;"inResearch,Manufacturer,inProduction,Customer,Researcher,Reconversion,inTesting,Product"
145;Storengy;"Supplier,Manufacturer,Customer,Researcher"
146;Oakley_Men_QUOTATION_OR_APOSTROPHE_s_Sunglasses;"Customer,Supplier"
147;Inabe_Plant;"Supplier,Customer,Manufacturer,inProduction,Researcher"
148;MnCNRu;"Manufacturer,Supplier"
149;Oakley_Men;"Supplier,Manufacturer,Customer,Researcher"
150;Fukushima;Supplier
151;Beiqi_Foton_Motor;"Researcher,Supplier,Customer,Manufacturer"
152;Fuel_Cell_Technologies;"Product,inResearch,inProduction,Reconversion"
153;German;inProduction
154;Toyoda_Gosei_Co___COMMA__Ltd;"Researcher,Supplier,Manufacturer,Customer"
155;Daimler_AG;"Supplier,Customer,Manufacturer,Researcher"
156;Latest_Poll;inProduction
157;CD_Projekt_Red;"Researcher,Supplier,Customer"
158;Toyota_Motor_Europe;"Manufacturer,Customer,Manufacturing,Researcher,Supplier"
159;Ammonia_Fuel_Cells;"Product,AmmoniaFuelCell,Reconversion"
160;Fuel_Cell_Business;"inProduction,Reconversion,Product,inResearch"
161;Dedicated_Fuel_Cell_System;"Product,inResearch,inProduction,Reconversion,inTesting"
162;Ammonia;"inResearch,inProduction,inTesting"
163;Archive_org;Researcher
164;SoCalGas;"Manufacturer,Researcher,Supplier,Customer"
165;Hydrogen_Peroxide;"inProduction,inTesting,inResearch,Supplier"
166;McPhy;Customer
167;Reuters;"Manufacturer,inProduction,Researcher,Supplier,Customer"
168;STT;"Customer,Manufacturer,Researcher"
169;CEC;"Manufacturer,Customer,Researcher,Supplier"
170;San_Francisco_Clean_Cities_Coalition;Supplier
171;Amazon;"Customer,Manufacturer,Researcher,Supplier"
172;Renewable_hydrogen;"Supplier,inResearch,Manufacturer,inTesting,inProduction,Researcher"
173;Orange_County_Transportation_Authority;"Mobile,inTesting,inProduction,inResearch"
174;GazelEnergie_Join_Forces;"inProduction,inResearch"
175;IEEE_Spectrum;"Manufacturer,Researcher"
176;Mads_Friis_Jensen;"Researcher,Customer,inTesting,inProduction"
177;Petrochemical_Corporation;Supplier
178;Near_Future_Propulsion_Extras;inResearch
179;Alfa_Laval;"Researcher,Supplier"
180;Stockholm_University;"Research,Researcher"
181;Channel_10;"Supplier,Manufacturer,Customer,Researcher"
182;Perovskites_crystals;"inProduction,inTesting"
183;Korea_Institute_of_Science_and_Technology;"Researcher,Supplier,RegisteredOrganization"
184;Daimler_Truck_AG;"Customer,Truck,Manufacturer,Researcher,Supplier"
185;European;"inResearch,inProduction"
186;Development_of_a_Hydrogen_Infrastructure;Road
187;Phenanthrene_Skeletons;inProduction
188;Climate_Action_Champions;inProduction
189;Podcast_Dr_Josef_Kallo_On_Fuel_Cell_Progress_226201_1_html;BibliographicResource
190;Doritos;inTesting
191;HTWO;"Supplier,Manufacturer,inProduction,Customer,Researcher"
192;IHS_Says_Hydrogen_Cars_Are_at_Crossroad_htm;BibliographicResource
193;Hydrogen_plane;"Manufacturer,Aircraft"
194;Government_to_roll_out_promotion_of_hydrogen_efficient_fleets_aspx;BibliographicResource
195;Australia;"Manufacturer,inTesting,inProduction,Researcher,Supplier,inResearch,Customer"
196;Fuel_cell_power_pack;"Supplier,Product,Reconversion"
197;Video;"inResearch,inProduction,inTesting"
198;Nafion;"Supplier,Customer,Manufacturer"
